Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Munchlax,446,,,♂ 88.1%,♀ 11.9%,Normal,----,"10,240",Undiscovered,----,Pickup,Thick Fat,Gluttony,----,After You,Belch,Charm,Counter,Curse,Double-Edge,Pursuit,Self-Destruct,Whirlwind,Zen Headbutt,,,,,,,,,,,,,Icicle Crash,Ice,,,,,,,,,,,,
Riolu,447,,,♂ 88.1%,♀ 11.9%,Fighting,----,"6,240",Undiscovered,----,Steadfast,Inner Focus,Prankster,----,Agility,Bite,Blaze Kick,Bullet Punch,Circle Throw,Cross Chop,Crunch,Follow Me,High Jump Kick,Iron Defense,Low Kick,Mind Reader,Sky Uppercut,Vacuum Wave,,,,,,,,,V-create,Fire,,,,,,,,,,,,
Lucario,448,,,♂ 88.1%,♀ 11.9%,Fighting,Steel,"6,240",Field,Human-Like,Steadfast,Inner Focus,Justified,----,Agility,Bite,Blaze Kick,Bullet Punch,Circle Throw,Cross Chop,Crunch,Follow Me,High Jump Kick,Iron Defense,Low Kick,Mind Reader,Sky Uppercut,Vacuum Wave,,,,,,,,,Fusion Flare,Fire,,,,,,,,,,,,
Mega Lucario,448,,,♂ 88.1%,♀ 11.9%,Fighting,Steel,"6,240",Field,Human-Like,Adaptability,----,----,----,Agility,Bite,Blaze Kick,Bullet Punch,Circle Throw,Cross Chop,Crunch,Follow Me,High Jump Kick,Iron Defense,Low Kick,Mind Reader,Sky Uppercut,Vacuum Wave,,,,,,,,,Fusion Bolt,Electric,,,,,,,,,,,,
Hippopotas ♂,449,,,♂ 50%,♀ 50%,Ground,----,"7,680",Field,----,Sand Stream,----,Sand Force,----,Body Slam,Curse,Revenge,Slack Off,Spit Up,Stockpile,Swallow,Whirlwind,,,,,,,,,,,,,,,Flying Press,Fighting,,,,,,,,,,,,
Hippopotas ♀,449,,,♂ 50%,♀ 50%,Ground,----,"7,680",Field,----,Sand Stream,----,Sand Force,----,Body Slam,Curse,Revenge,Slack Off,Spit Up,Stockpile,Swallow,Whirlwind,,,,,,,,,,,,,,,Mat Block,Fighting,,,,,,,,,,,,
Hippowdon ♂,450,,,♂ 50%,♀ 50%,Ground,----,"7,680",Field,----,Sand Stream,----,Sand Force,----,Body Slam,Curse,Revenge,Slack Off,Spit Up,Stockpile,Swallow,Whirlwind,,,,,,,,,,,,,,,Belch,Poison,,,,,,,,,,,,
Hippowdon ♀,450,,,♂ 50%,♀ 50%,Ground,----,"7,680",Field,----,Sand Stream,----,Sand Force,----,Body Slam,Curse,Revenge,Slack Off,Spit Up,Stockpile,Swallow,Whirlwind,,,,,,,,,,,,,,,Rototiller,Ground,,,,,,,,,,,,
Skorupi,451,,,♂ 50%,♀ 50%,Poison,Bug,"5,120",Bug,Water 3,Battle Armor,Sniper,Keen Eye,----,Agility,Confuse Ray,Feint Attack,Iron Tail,Poison Tail,Sand Attack,Screech,Slash,Twineedle,Whirlwind,,,,,,,,,,,,,Sticky Web,Bug,,,,,,,,,,,,
Drapion,452,,,♂ 50%,♀ 50%,Poison,Dark,"5,120",Bug,Water 3,Battle Armor,Sniper,Keen Eye,----,Agility,Confuse Ray,Feint Attack,Iron Tail,Poison Tail,Sand Attack,Screech,Slash,Twineedle,Whirlwind,,,,,,,,,,,,,Fell Stinger,Bug,,,,,,,,,,,,
Croagunk,453,,,♂ 50%,♀ 50%,Poison,Fighting,"2,560",Human-Like,----,Anticipation,Dry Skin,Poison Touch,----,Acupressure,Bullet Punch,Counter,Cross Chop,Drain Punch,Dynamic Punch,Fake Out,Feint,Headbutt,Me First,Meditate,Quick Guard,Smelling Salts,Vacuum Wave,Wake-Up Slap,,,,,,,,Phantom Force,Ghost,,,,,,,,,,,,
Toxicroak,454,,,♂ 50%,♀ 50%,Poison,Fighting,"2,560",Human-Like,----,Anticipation,Dry Skin,Poison Touch,----,Acupressure,Bullet Punch,Counter,Cross Chop,Drain Punch,Dynamic Punch,Fake Out,Feint,Headbutt,Me First,Meditate,Quick Guard,Smelling Salts,Vacuum Wave,Wake-Up Slap,,,,,,,,Trick-or-Treat,Ghost,,,,,,,,,,,,
Carnivine,455,,,♂ 50%,♀ 50%,Grass,----,"6,240",Grass,----,Levitate,----,----,----,Giga Drain,Grass Whistle,Leech Seed,Magical Leaf,Rage Powder,Razor Leaf,Slam,Sleep Powder,Stun Spore,Synthesis,Worry Seed,,,,,,,,,,,,Noble Roar,Normal,,,,,,,,,,,,
Finneon,456,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 2,----,Swift Swim,Storm Drain,Water Veil,----,Agility,Aqua Tail,Aurora Beam,Brine,Charm,Flail,Psybeam,Signal Beam,Splash,Sweet Kiss,Tickle,,,,,,,,,,,,Ion Deluge,Electric,,,,,,,,,,,,
Lumineon,457,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 2,----,Swift Swim,Storm Drain,Water Veil,----,Agility,Aqua Tail,Aurora Beam,Brine,Charm,Flail,Psybeam,Signal Beam,Splash,Sweet Kiss,Tickle,,,,,,,,,,,,Parabolic Charge,Electric,,,,,,,,,,,,
Mantyke,458,,,♂ 50%,♀ 50%,Water,Flying,"6,240",Undiscovered,----,Swift Swim,Water Absorb,Water Veil,----,Amnesia,Haze,Mirror Coat,Mud Sport,Signal Beam,Slam,Splash,Tailwind,Water Sport,,,,,,,,,,,,,,Forestâ€™s Curse,Grass,,,,,,,,,,,,
Snover,459,,,♂ 50%,♀ 50%,Ice,Grass,"5,120",Monster,Grass,Snow Warning,----,Soundproof,----,Avalanche,Bullet Seed,Double-Edge,Growth,Leech Seed,Magical Leaf,Natural Gift,Seed Bomb,Skull Bash,Stomp,,,,,,,,,,,,,Petal Blizzard,Grass,,,,,,,,,,,,
Abomasnow,460,,,♂ 50%,♀ 50%,Ice,Grass,"5,120",Monster,Grass,Snow Warning,----,Soundproof,----,Avalanche,Bullet Seed,Double-Edge,Growth,Leech Seed,Magical Leaf,Natural Gift,Seed Bomb,Skull Bash,Stomp,,,,,,,,,,,,,Freeze-Dry,Ice,,,,,,,,,,,,
Mega Abomasnow,460,,,♂ 50%,♀ 50%,Ice,Grass,"5,120",Monster,Grass,Snow Warning,----,----,----,Avalanche,Bullet Seed,Double-Edge,Growth,Leech Seed,Magical Leaf,Natural Gift,Seed Bomb,Skull Bash,Stomp,,,,,,,,,,,,,Disarming Voice,Fairy,,,,,,,,,,,,
Weavile,461,,,♂ 50%,♀ 50%,Dark,Ice,"5,120",Field,----,Pressure,----,Pickpocket,----,Assist,Avalanche,Bite,Counter,Crush Claw,Double Hit,Fake Out,Feint,Foresight,Ice Punch,Icicle Crash,Pursuit,Spite,Throat Chop,,,,,,,,,Parting Shot,Dark,,,,,,,,,,,,
Magnezone,462,,,○,○,Electric,Steel,"5,120",Mineral,----,Magnet Pull,Sturdy,Analytic,----,,,,,,,,,,,,,,,,,,,,,,,Topsy-Turvy,Dark,,,,,,,,,,,,
Lickilicky,463,,,♂ 50%,♀ 50%,Normal,----,"5,120",Monster,----,Own Tempo,Oblivious,Cloud Nine,----,Amnesia,Belch,Belly Drum,Body Slam,Curse,Hammer Arm,Magnitude,Muddy Water,Smelling Salts,Snore,Zen Headbutt,,,,,,,,,,,,Draining Kiss,Fairy,,,,,,,,,,,,
Rhyperior,464,,,♂ 50%,♀ 50%,Ground,Rock,"5,120",Monster,Field,Lightning Rod,Solid Rock,Reckless,----,Counter,Crunch,Crush Claw,Curse,Dragon Rush,Fire Fang,Guard Split,Ice Fang,Iron Tail,Magnitude,Metal Burst,Reversal,Rock Climb,Rototiller,Skull Bash,Thunder Fang,,,,,,,Crafty Shield,Fairy,,,,,,,,,,,,
Tangrowth,465,,,♂ 50%,♀ 50%,Grass,----,"5,120",Grass,----,Chlorophyll,Leaf Guard,Regenerator,----,Amnesia,Confusion,Endeavor,Flail,Leaf Storm,Leech Seed,Power Swap,Rage Powder,,,,,,,,,,,,,,,Flower Shield,Fairy,,,,,,,,,,,,
Electivire,466,,,♂ 75%,♀ 25%,Electric,----,"6,240",Human-Like,----,Motor Drive,----,Vital Spirit,----,Barrier,Cross Chop,Dynamic Punch,Feint,Focus Punch,Hammer Arm,Ice Punch,Karate Chop,Meditate,Rolling Kick,,,,,,,,,,,,,Grassy Terrain,Grass,,,,,,,,,,,,
Magmortar,467,,,♂ 75%,♀ 25%,Fire,----,"6,240",Human-Like,----,Flame Body,----,Vital Spirit,----,Barrier,Belch,Belly Drum,Cross Chop,Dynamic Punch,Flare Blitz,Focus Energy,Iron Tail,Karate Chop,Mach Punch,Mega Punch,Power Swap,Screech,,,,,,,,,,Misty Terrain,Fairy,,,,,,,,,,,,
Togekiss,468,,,♂ 88.1%,♀ 11.9%,Fairy,Flying,"2,560",Flying,Fairy,Hustle,Serene Grace,Super Luck,----,Extrasensory,Foresight,Future Sight,Lucky Chant,Mirror Move,Morning Sun,Nasty Plot,Peck,Present,Psycho Shift,Secret Power,Stored Power,,,,,,,,,,,Electrify,Electric,,,,,,,,,,,,
Yanmega,469,,,♂ 50%,♀ 50%,Bug,Flying,"5,120",Bug,----,Speed Boost,Tinted Lens,Frisk,----,Double-Edge,Feint Attack,Reversal,Secret Power,Signal Beam,Silver Wind,Whirlwind,,,,,,,,,,,,,,,,Play Rough,Fairy,,,,,,,,,,,,
Leafeon,470,,,♂ 88.1%,♀ 11.9%,Grass,----,"8,960",Field,----,Leaf Guard,----,Chlorophyll,----,Captivate,Curse,Detect,Endure,Fake Tears,Flail,Natural Gift,Stored Power,Synchronoise,Tickle,Wish,Yawn,,,,,,,,,,,Fairy Wind,Fairy,,,,,,,,,,,,
Glaceon,471,,,♂ 88.1%,♀ 11.9%,Ice,----,"8,960",Field,----,Snow Cloak,----,Ice Body,----,Captivate,Curse,Detect,Endure,Fake Tears,Flail,Natural Gift,Stored Power,Synchronoise,Tickle,Wish,Yawn,,,,,,,,,,,Moonblast,Fairy,,,,,,,,,,,,
Gliscor,472,,,♂ 50%,♀ 50%,Ground,Flying,"5,120",Bug,----,Hyper Cutter,Sand Veil,Poison Heal,----,Agility,Baton Pass,Counter,Cross Poison,Double-Edge,Feint,Metal Claw,Poison Tail,Power Trick,Razor Wind,Rock Climb,Sand Tomb,Wing Attack,,,,,,,,,,Boomburst,Normal,,,,,,,,,,,,
Mamoswine,473,,,♂ 50%,♀ 50%,Ice,Ground,"5,120",Field,----,Oblivious,Snow Cloak,Thick Fat,----,Avalanche,Bite,Body Slam,Curse,Double-Edge,Fissure,Freeze-Dry,Icicle Crash,Icicle Spear,Mud Shot,Mud Shot,Stealth Rock,,,,,,,,,,,Fairy Lock,Fairy,,,,,,,,,,,,
Porygon-Z,474,,,○,○,Normal,----,"5,120",Mineral,----,Adaptability,Download,Analytic,----,,,,,,,,,,,,,,,,,,,,,,,Kingâ€™s Shield,Steel,,,,,,,,,,,,
Gallade,475,,,♂ 100%,♀ 0%,Psychic,Fighting,"5,120",Amorphous,----,Steadfast,----,Justified,----,Ally Switch,Confuse Ray,Destiny Bond,Disable,Encore,Grudge,Mean Look,Memento,Misty Terrain,Shadow Sneak,Skill Swap,Synchronoise,,,,,,,,,,,Play Nice,Normal,,,,,,,,,,,,
Mega Gallade,475,,,♂ 100%,♀ 0%,Psychic,Fighting,"5,120",Amorphous,----,Inner Focus,----,----,----,Ally Switch,Confuse Ray,Destiny Bond,Disable,Encore,Grudge,Mean Look,Memento,Misty Terrain,Shadow Sneak,Skill Swap,Synchronoise,,,,,,,,,,,Confide,Normal,,,,,,,,,,,,
Probopass,476,,,♂ 50%,♀ 50%,Rock,Steel,"5,120",Mineral,----,Sturdy,Magnet Pull,Sand Force,----,Double-Edge,Endure,Magnitude,Rollout,Stealth Rock,,,,,,,,,,,,,,,,,,Diamond Storm,Rock,,,,,,,,,,,,
Dusknoir,477,,,♂ 50%,♀ 50%,Ghost,Ghost,"6,240",Amorphous,----,Pressure,----,Frisk,----,Destiny Bond,Feint Attack,Grudge,Haze,Imprison,Memento,Ominous Wind,Pain Split,Skill Swap,,,,,,,,,,,,,,Steam Eruption,Water,,,,,,,,,,,,
Froslass,478,,,♂ 0%,♀ 100%,Ice,Ghost,"5,120",Fairy,Mineral,Snow Cloak,----,Cursed Body,----,Avalanche,Bide,Block,Disable,Fake Tears,Hex,Rollout,Spikes,Switcheroo,Weather Ball,,,,,,,,,,,,,Hyperspace Hole,Psychic,,,,,,,,,,,,
Rotom,479,,,○,○,Electric,Ghost,"5,120",Amorphous,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Water Shuriken,Water,,,,,,,,,,,,
Rotom-H,479,,,○,○,Fire,Ghost,"5,120",Amorphous,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Mystical Fire,Fire,,,,,,,,,,,,
Rotom-W,479,,,○,○,Water,Ghost,"5,120",Amorphous,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Spiky Shield,Grass,,,,,,,,,,,,
Rotom-F,479,,,○,○,Ice,Ghost,"5,120",Amorphous,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Aromatic Mist,Fairy,,,,,,,,,,,,
Rotom-S,479,,,○,○,Flying,Ghost,"5,120",Amorphous,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Eerie Impulse,Electric,,,,,,,,,,,,
Rotom-C,479,,,○,○,Grass,Ghost,"5,120",Amorphous,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Venom Drench,Poison,,,,,,,,,,,,
Uxie,480,,,○,○,Psychic,----,"20,480",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Powder,Bug,,,,,,,,,,,,
Mesprit,481,,,○,○,Psychic,----,"20,480",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Geomancy,Fairy,,,,,,,,,,,,
Azelf,482,,,○,○,Psychic,----,"20,480",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Magnetic Flux,Electric,,,,,,,,,,,,
Dialga,483,,,○,○,Steel,Dragon,"30,720",Undiscovered,----,Pressure,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,Happy Hour,Normal,,,,,,,,,,,,
Palkia,484,,,○,○,Water,Dragon,"30,720",Undiscovered,----,Pressure,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,Electric Terrain,Electric,,,,,,,,,,,,
Heatran,485,,,○,○,Fire,Steel,"2,560",Undiscovered,----,Flash Fire,----,Flame Body,----,,,,,,,,,,,,,,,,,,,,,,,Dazzling Gleam,Fairy,,,,,,,,,,,,
Regigigas,486,,,○,○,Normal,----,"30,720",Undiscovered,----,Slow Start,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Celebrate,Normal,,,,,,,,,,,,
Giratina,487,,,○,○,Ghost,Dragon,"30,720",Undiscovered,----,Pressure,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,Hold Hands,Normal,,,,,,,,,,,,
Origin Giratina,487,,,○,○,Ghost,Dragon,"30,720",Undiscovered,----,Pressure,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,Baby-Doll Eyes,Fairy,,,,,,,,,,,,
Cresselia,488,,,♂ 0%,♀ 100%,Psychic,----,"30,720",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Nuzzle,Electric,,,,,,,,,,,,
Phione,489,,,○,○,Water,----,"10,240",Water 1,Fairy,Hydration,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Hold Back,Normal,,,,,,,,,,,,
Manaphy,490,,,○,○,Water,----,"2,560",Water 1,Fairy,Hydration,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Infestation,Bug,,,,,,,,,,,,
Manaphy (Egg),490,https://static.wikia.nocookie.net/international-pokedex/images/4/48/Manaphy_Egg_%28Guardian_Signs%29.png,,○,○,Water,----,"2,560",Water 1,Fairy,Hydration,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Power-Up Punch,Fighting,,,,,,,,,,,,
Darkrai,491,,,○,○,Dark,----,"30,720",Undiscovered,----,Bad Dreams,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Oblivion Wing,Flying,,,,,,,,,,,,
Shaymin,492,,,○,○,Grass,----,"30,720",Undiscovered,----,Natural Cure,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Thousand Arrows,Ground,,,,,,,,,,,,
Sky Shaymin,492,,,○,○,Grass,Flying,"30,720",Undiscovered,----,Serene Grace,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Thousand Waves,Ground,,,,,,,,,,,,
Arceus,493,,,○,○,Normal,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Land's Wrath,Ground,,,,,,,,,,,,
Arceus-Bug,493,,,○,○,Bug,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Light of Ruin,Fairy,,,,,,,,,,,,
Arceus-Dark,493,,,○,○,Dark,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Origin Pulse,Water,,,,,,,,,,,,
Arceus-Dragon,493,,,○,○,Dragon,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Precipice Blades,Ground,,,,,,,,,,,,
Arceus-Electric,493,,,○,○,Electric,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Dragon Ascent,Flying,,,,,,,,,,,,
Arceus-Fairy,493,,,○,○,Fairy,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Hyperspace Fury,Dark,,,,,,,,,,,,
Arceus-Fighting,493,,,○,○,Fighting,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Breakneck Blitz,Normal,,,,,,,,,,,,
Arceus-Fire,493,,,○,○,Fire,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Breakneck Blitz,Normal,,,,,,,,,,,,
Arceus-Flying,493,,,○,○,Flying,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,All-Out Pummeling,Fighting,,,,,,,,,,,,
Arceus-Ghost,493,,,○,○,Ghost,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,All-Out Pummeling,Fighting,,,,,,,,,,,,
Arceus-Grass,493,,,○,○,Grass,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Supersonic Skystrike,Flying,,,,,,,,,,,,
Arceus-Ground,493,,,○,○,Ground,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Supersonic Skystrike,Flying,,,,,,,,,,,,
Arceus-Ice,493,,,○,○,Ice,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Acid Downpour,Poison,,,,,,,,,,,,
Arceus-Poison,493,,,○,○,Poison,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Acid Downpour,Poison,,,,,,,,,,,,
Arceus-Psychic,493,,,○,○,Psychic,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Tectonic Rage,Ground,,,,,,,,,,,,
Arceus-Rock,493,,,○,○,Rock,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Tectonic Rage,Ground,,,,,,,,,,,,
Arceus-Steel,493,,,○,○,Steel,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Continental Crush,Rock,,,,,,,,,,,,
Arceus-Water,493,,,○,○,Water,----,"30,720",Undiscovered,----,Multitype,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Continental Crush,Rock,,,,,,,,,,,,
Victini,494,,,○,○,Psychic,Fire,"30,720",Undiscovered,----,Victory Star,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Savage Spin-Out,Bug,,,,,,,,,,,,
Snivy,495,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Field,Grass,Overgrow,----,Contrary,----,Captivate,Glare,Grassy Terrain,Iron Tail,Magical Leaf,Mean Look,Mirror Coat,Natural Gift,Pursuit,Sweet Scent,Twister,,,,,,,,,,,,Savage Spin-Out,Bug,,,,,,,,,,,,
Servine,496,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Field,Grass,Overgrow,----,Contrary,----,Captivate,Glare,Grassy Terrain,Iron Tail,Magical Leaf,Mean Look,Mirror Coat,Natural Gift,Pursuit,Sweet Scent,Twister,,,,,,,,,,,,Never-Ending Nightmare,Ghost,,,,,,,,,,,,
Serperior,497,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Field,Grass,Overgrow,----,Contrary,----,Captivate,Glare,Grassy Terrain,Iron Tail,Magical Leaf,Mean Look,Mirror Coat,Natural Gift,Pursuit,Sweet Scent,Twister,,,,,,,,,,,,Never-Ending Nightmare,Ghost,,,,,,,,,,,,
Tepig,498,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Field,----,Blaze,----,Thick Fat,----,Body Slam,Covet,Curse,Endeavor,Heavy Slam,Magnitude,Sucker Punch,Superpower,Thrash,Yawn,,,,,,,,,,,,,Corkscrew Crash,Steel,,,,,,,,,,,,
Pignite,499,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,----,Blaze,----,Thick Fat,----,Body Slam,Covet,Curse,Endeavor,Heavy Slam,Magnitude,Sucker Punch,Superpower,Thrash,Yawn,,,,,,,,,,,,,Corkscrew Crash,Steel,,,,,,,,,,,,
Emboar,500,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,----,Blaze,----,Reckless,----,Body Slam,Covet,Curse,Endeavor,Heavy Slam,Magnitude,Sucker Punch,Superpower,Thrash,Yawn,,,,,,,,,,,,,Inferno Overdrive,Fire,,,,,,,,,,,,
Oshawott,501,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Field,----,Torrent,----,Shell Armor,----,Air Slash,Assurance,Brine,Copycat,Detect,Night Slash,Screech,Trump Card,,,,,,,,,,,,,,,Inferno Overdrive,Fire,,,,,,,,,,,,
Dewott,502,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Field,----,Torrent,----,Shell Armor,----,Air Slash,Assurance,Brine,Copycat,Detect,Night Slash,Screech,Trump Card,,,,,,,,,,,,,,,Hydro Vortex,Water,,,,,,,,,,,,
Samurott,503,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Field,----,Torrent,----,Shell Armor,----,Air Slash,Assurance,Brine,Copycat,Detect,Night Slash,Screech,Trump Card,,,,,,,,,,,,,,,Hydro Vortex,Water,,,,,,,,,,,,
Patrat,504,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Run Away,Keen Eye,Analytic,----,Assurance,Flail,Foresight,Iron Tail,Pursuit,Revenge,Screech,,,,,,,,,,,,,,,,Bloom Doom,Grass,,,,,,,,,,,,
Watchog,505,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Illuminate,Keen Eye,Analytic,----,Assurance,Flail,Foresight,Iron Tail,Pursuit,Revenge,Screech,,,,,,,,,,,,,,,,Bloom Doom,Grass,,,,,,,,,,,,
Lillipup,506,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Vital Spirit,Pickup,Run Away,----,After You,Charm,Endure,Howl,Lick,Mud-Slap,Psychic Fangs,Pursuit,Sand Attack,Yawn,,,,,,,,,,,,,Gigavolt Havoc,Electric,,,,,,,,,,,,
Herdier,507,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Intimidate,Sand Rush,Scrappy,----,After You,Charm,Endure,Howl,Lick,Mud-Slap,Psychic Fangs,Pursuit,Sand Attack,Yawn,,,,,,,,,,,,,Gigavolt Havoc,Electric,,,,,,,,,,,,
Stoutland,508,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Intimidate,Sand Rush,Scrappy,----,After You,Charm,Endure,Howl,Lick,Mud-Slap,Psychic Fangs,Pursuit,Sand Attack,Yawn,,,,,,,,,,,,,Shattered Psyche,Psychic,,,,,,,,,,,,
Purrloin,509,,,♂ 50%,♀ 50%,Dark,----,"5,120",Field,----,Limber,Unburden,Prankster,----,Charm,Copycat,Covet,Encore,Fake Tears,Feint Attack,Foul Play,Pay Day,Yawn,,,,,,,,,,,,,,Shattered Psyche,Psychic,,,,,,,,,,,,
Liepard,510,,,♂ 50%,♀ 50%,Dark,----,"5,120",Field,----,Limber,Unburden,Prankster,----,Charm,Copycat,Covet,Encore,Fake Tears,Feint Attack,Foul Play,Pay Day,Yawn,,,,,,,,,,,,,,Subzero Slammer,Ice,,,,,,,,,,,,
Pansage,511,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Field,----,Gluttony,----,Overgrow,----,Astonish,Bullet Seed,Covet,Disarming Voice,Grass Whistle,Leaf Storm,Low Kick,Magical Leaf,Nasty Plot,Role Play,Tickle,,,,,,,,,,,,Subzero Slammer,Ice,,,,,,,,,,,,
Simisage,512,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Field,----,Gluttony,----,Overgrow,----,Astonish,Bullet Seed,Covet,Disarming Voice,Grass Whistle,Leaf Storm,Low Kick,Magical Leaf,Nasty Plot,Role Play,Tickle,,,,,,,,,,,,Devastating Drake,Dragon,,,,,,,,,,,,
Pansear,513,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Field,----,Gluttony,----,Blaze,----,Astonish,Covet,Disarming Voice,Fire Punch,Fire Spin,Heat Wave,Low Kick,Nasty Plot,Role Play,Tickle,,,,,,,,,,,,,Devastating Drake,Dragon,,,,,,,,,,,,
Simisear,514,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Field,----,Gluttony,----,Blaze,----,Astonish,Covet,Disarming Voice,Fire Punch,Fire Spin,Heat Wave,Low Kick,Nasty Plot,Role Play,Tickle,,,,,,,,,,,,,Black Hole Eclipse,Dark,,,,,,,,,,,,
Panpour,515,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Field,----,Gluttony,----,Torrent,----,Aqua Ring,Aqua Tail,Astonish,Covet,Disarming Voice,Hydro Pump,Low Kick,Mud Sport,Nasty Plot,Role Play,Tickle,,,,,,,,,,,,Black Hole Eclipse,Dark,,,,,,,,,,,,
Simipour,516,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Field,----,Gluttony,----,Torrent,----,Aqua Ring,Aqua Tail,Astonish,Covet,Disarming Voice,Hydro Pump,Low Kick,Mud Sport,Nasty Plot,Role Play,Tickle,,,,,,,,,,,,Twinkle Tackle,Fairy,,,,,,,,,,,,
Munna,517,,,♂ 50%,♀ 50%,Psychic,----,"2,560",Field,----,Forewarn,Synchronize,Telepathy,----,Barrier,Baton Pass,Curse,Healing Wish,Helping Hand,Magic Coat,Secret Power,Sonic Boom,Swift,,,,,,,,,,,,,,Twinkle Tackle,Fairy,,,,,,,,,,,,
